20150101 192100;1.208570;1.208640;1.208470;1.208470;0
20150101 192200;1.208470;1.208600;1.208470;1.208600;0
20150101 192300;1.208640;1.208640;1.208560;1.208560;0
20150101 192400;1.208590;1.208680;1.208570;1.208680;0
20150101 192500;1.208670;1.208680;1.208670;1.208680;0
20150101 192600;1.208660;1.208740;1.208650;1.208730;0
20150101 192700;1.208720;1.208750;1.208710;1.208730;0
20150101 192800;1.208720;1.208720;1.208550;1.208560;0
20150101 192900;1.208580;1.208660;1.208550;1.208580;0
20150101 193000;1.208580;1.208580;1.208410;1.208440;0
20150101 193100;1.208430;1.208430;1.208250;1.208250;0
20150101 193200;1.208250;1.208250;1.208130;1.208130;0
20150101 193300;1.208130;1.208180;1.208090;1.208130;0
20150101 193400;1.208140;1.208170;1.207990;1.208010;0
20150101 193500;1.207990;1.207990;1.207820;1.207830;0
20150101 193600;1.207790;1.207800;1.207620;1.207620;0
20150101 193700;1.207620;1.207620;1.207470;1.207520;0
20150101 193800;1.207520;1.207520;1.207250;1.207400;0
20150101 193900;1.207390;1.207580;1.207350;1.207400;0
20150101 194000;1.207410;1.207440;1.206960;1.207120;0
20150101 194100;1.207120;1.207230;1.206990;1.207130;0
20150101 194200;1.207130;1.207210;1.207010;1.207150;0
20150101 194300;1.207160;1.207290;1.207130;1.207210;0
20150101 194400;1.207210;1.207280;1.207150;1.207250;0
20150101 194500;1.207250;1.207290;1.207160;1.207170;0
20150101 194600;1.207170;1.207180;1.207040;1.207050;0
20150101 194700;1.207040;1.207110;1.206990;1.207020;0
20150101 194800;1.207030;1.207030;1.207000;1.207020;0
20150101 194900;1.207050;1.207050;1.207020;1.207020;0
20150101 195000;1.207020;1.207030;1.206990;1.207020;0
20150101 195100;1.207030;1.207090;1.206990;1.207090;0
20150101 195200;1.207100;1.207130;1.207090;1.207130;0
20150101 195300;1.207120;1.207150;1.207100;1.207150;0
20150101 195400;1.207130;1.207130;1.207040;1.207050;0
20150101 195500;1.207040;1.207040;1.206870;1.206890;0
20150101 195600;1.206880;1.206890;1.206740;1.206770;0
20150101 195700;1.206780;1.206850;1.206680;1.206770;0
20150101 195800;1.206770;1.206780;1.206690;1.206720;0
20150101 195900;1.206720;1.206730;1.206720;1.206720;0
20150101 200000;1.206730;1.206770;1.206580;1.206580;0
20150101 200100;1.206570;1.206610;1.206310;1.206410;0
20150101 200200;1.206410;1.206480;1.206340;1.206410;0
20150101 200300;1.206400;1.206450;1.206340;1.206420;0
20150101 200400;1.206420;1.206550;1.206370;1.206540;0
20150101 200500;1.206550;1.206640;1.206550;1.206640;0
20150101 200600;1.206640;1.206810;1.206640;1.206770;0
20150101 200700;1.206770;1.207070;1.206770;1.207070;0
20150101 200800;1.207070;1.207210;1.207030;1.207050;0
20150101 200900;1.207030;1.207060;1.206960;1.207020;0
20150101 201000;1.207030;1.207060;1.207020;1.207050;0
20150101 201100;1.207050;1.207150;1.207050;1.207150;0
20150101 201200;1.207170;1.207200;1.207100;1.207120;0
20150101 201300;1.207120;1.207120;1.207020;1.207100;0
20150101 201400;1.207090;1.207090;1.206860;1.206860;0
20150101 201500;1.206850;1.206870;1.206830;1.206860;0
20150101 201600;1.206850;1.206870;1.206770;1.206770;0
20150101 201700;1.206770;1.206770;1.206700;1.206760;0
20150101 201800;1.206750;1.206750;1.206580;1.206620;0
20150101 201900;1.206620;1.206620;1.206470;1.206530;0
20150101 202000;1.206540;1.206540;1.206340;1.206340;0
20150101 202100;1.206350;1.206380;1.206340;1.206370;0
20150101 202200;1.206370;1.206370;1.206260;1.206260;0
20150101 202300;1.206260;1.206300;1.205910;1.205910;0
20150101 202400;1.205930;1.206000;1.205770;1.205930;0
20150101 202500;1.205940;1.205950;1.205500;1.205510;0
20150101 202600;1.205510;1.205580;1.205390;1.205390;0
20150101 202700;1.205380;1.205650;1.205380;1.205530;0
20150101 202800;1.205520;1.205740;1.205340;1.205710;0
20150101 202900;1.205730;1.205740;1.205630;1.205700;0
20150101 203000;1.205690;1.205910;1.205550;1.205570;0
20150101 203100;1.205550;1.205770;1.205540;1.205610;0
20150101 203200;1.205600;1.205600;1.205230;1.205250;0
20150101 203300;1.205240;1.205340;1.205210;1.205230;0
20150101 203400;1.205230;1.205320;1.205200;1.205280;0
20150101 203500;1.205320;1.205700;1.205280;1.205680;0
20150101 203600;1.205680;1.205770;1.205590;1.205730;0
20150101 203700;1.205720;1.205790;1.205550;1.205730;0
20150101 203800;1.205740;1.205890;1.205740;1.205840;0
20150101 203900;1.205840;1.206170;1.205830;1.206140;0
20150101 204000;1.206150;1.206200;1.206020;1.206190;0
20150101 204100;1.206200;1.206420;1.206160;1.206410;0
20150101 204200;1.206400;1.206400;1.206210;1.206290;0
20150101 204300;1.206300;1.206370;1.206290;1.206360;0
20150101 204400;1.206340;1.206700;1.206310;1.206680;0
20150101 204500;1.206670;1.206960;1.206520;1.206530;0
20150101 204600;1.206550;1.206650;1.206520;1.206600;0
20150101 204700;1.206580;1.206680;1.206560;1.206680;0
20150101 204800;1.206680;1.206680;1.206450;1.206470;0
20150101 204900;1.206480;1.206480;1.206370;1.206450;0
20150101 205000;1.206450;1.206500;1.206420;1.206460;0
20150101 205100;1.206450;1.206450;1.206310;1.206310;0
20150101 205200;1.206310;1.206370;1.206310;1.206360;0
20150101 205300;1.206350;1.206360;1.206310;1.206310;0
20150101 205400;1.206330;1.206380;1.206330;1.206380;0
20150101 205500;1.206390;1.206390;1.206380;1.206380;0
20150101 205600;1.206390;1.206490;1.206380;1.206490;0
20150101 205700;1.206490;1.206690;1.206490;1.206690;0
20150101 205800;1.206690;1.206790;1.206690;1.206780;0
20150101 205900;1.206800;1.206800;1.206690;1.206710;0
20150101 210000;1.206700;1.206810;1.206680;1.206760;0
20150101 210100;1.206750;1.206770;1.206700;1.206700;0
20150101 210200;1.206710;1.206710;1.206550;1.206660;0
20150101 210300;1.206670;1.206760;1.206670;1.206750;0
20150101 210400;1.206740;1.206760;1.206700;1.206760;0
20150101 210500;1.206760;1.206890;1.206760;1.206860;0
20150101 210600;1.206850;1.206860;1.206720;1.206770;0
20150101 210700;1.206760;1.206770;1.206750;1.206750;0
20150101 210800;1.206750;1.206750;1.206490;1.206520;0
20150101 210900;1.206510;1.206530;1.206410;1.206430;0
20150101 211000;1.206430;1.206440;1.206410;1.206440;0
20150101 211100;1.206500;1.206550;1.206490;1.206540;0
20150101 211200;1.206530;1.206550;1.206530;1.206540;0
20150101 211300;1.206540;1.206540;1.206520;1.206530;0
20150101 211400;1.206530;1.206530;1.206250;1.206250;0
20150101 211500;1.206250;1.206250;1.205690;1.205720;0
20150101 211600;1.205720;1.205730;1.205430;1.205680;0
20150101 211700;1.205700;1.205910;1.205700;1.205910;0
20150101 211800;1.205900;1.205900;1.205130;1.205130;0
20150101 211900;1.205120;1.205250;1.204820;1.205060;0
20150101 212000;1.205040;1.205620;1.205030;1.205550;0
20150101 212100;1.205570;1.205640;1.205510;1.205530;0
20150101 212200;1.205530;1.205600;1.205530;1.205600;0
20150101 212300;1.205560;1.205650;1.205550;1.205650;0
20150101 212400;1.205640;1.205670;1.205630;1.205660;0
